PROVINCE,urban,age,gender,I1_3_1,party,army,sec_lan,f_b_hukou,f_n_hukou,m_b_hukou,m_n_hukou,b_hukou,n_hukou,local_hukou,migrant_hukou,cungaiju,u_w_m,u_c_m,r_m,p_m,uint_add_m,br_m,bus_m,I1_20_1,I1_20_2,n_r_o_i,I1_20_4,I1_20_5,I1_21,I1_22_1,I1_22_2,I1_22_3,tech_edu,I2_10,work_exp,I3a1_1,I3a1_2,I3a1_5,I3a1_9,I3a1_14,I3a1_16_1,I3a1_16_2,I3a1_16_3,I3a1_19_1,I3a1_19_2,I3a1_19_3,I3a1_20_1,I3a1_20_2,I3a1_20_3,I3a1_20_4,I3a1_20_5,I3a1_20_7,I3a1_20_8,I3a1_20_9,I3a1_21,I3a2_1,friend,psychofriend,discussfriend,moneyfriend,memberelect,happy,happycp,I7_7_1,I7_7_2,I7_9,soccls,b_soccls,I7_10_3_1,t_soccls,soctrs,I9_1,I9_2,arm,health,I9_5,I9_6,ill,I9_8,I9_9,I9_10,I9_11,I9_12,I9_14,interviewway,reject,impat,itviewer_trust,fudge,colla,rely,lang,sinitviewer,look,sinitviewee,y,belief,edu,fedu,medu,jobmean,dinner,socresp,localsc,comlk,plan
广东,0,27,0,广东,0,0,0,农业户口,农业户口,农业户口,农业户口,农业户口,农业户口,是,是,0,0,0,是,0,0,0,0,0,0,是,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1-5个,1-3个,1-3个,1-3个,自己主动投票,4,4,没有,有时,说不上公平但也不能说不公平,7,7,9,6,同意,150,92,155,健康,从来没有,从来没有,0,0,2,比较信任,一般,0,0,访问员访填,从未,偶尔,高,不像是,合作,可靠,当地方言,是,7,0,1,0,2,1,1,-1,0,0,1,0,1
江西,农村,50,0,江西,0,0,0,农业户口,农业户口,农业户口,农业户口,农业户口,农业户口,是,0,0,0,0,是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1-5个,1-3个,4-6个,1-3个,居/村委要求去投票,4,4,很少,有时,比较公平,6,4,7,4,同意,156,112,156,非常健康,从来没有,从来没有,0,0,0,比较信任,一般,0,0,访问员访填,从未,从未,高,完全没有,很合作,可靠,普通话,是,7,0,1,0,3,1,1,-999,0,1,1,1,8
安徽,0,45,男,安徽,0,0,0,农业户口,农业户口,农业户口,农业户口,农业户口,农业户口,是,0,0,0,0,是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,有,是,是,0,0,需要,0,完全由他人决定,部分由自己决定,完全由他人决定,很少,经常,有时,很少,很少,很少,-999,-999,-999,-999,-999,有,-999,16个或16个以上,1-3个,1-3个,1-3个,居/村委要求去投票,4,4,很少,经常,比较不公平,3,2,5,2,同意,168,142,167,一般,有时,从来没有,是,0,0,一般,一般,是,0,访问员访填,从未,从未,高,完全没有,合作,可靠,普通话,是,6,1,1,0,-999,1,1,0,-1,-1,0,0,2
湖北,0,59,男,湖北,0,0,0,农业户口,不适用,农业户口,不适用,农业户口,农业户口,是,0,0,是,0,0,0,0,0,0,0,0,是,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,一个也没有,0,0,0,自己主动投票,3,4,没有,总是,比较公平,5,5,5,1,同意,170,130,167,健康,从来没有,从来没有,0,0,-999,比较信任,比较信任,是,是,访问员访填,从未,偶尔,很高,有些时候,很合作,可靠,普通话,是,5,1,1,0,1,2,1,1,-1,0,1,-1,8
重庆,农村,54,0,重庆,0,0,0,农业户口,不适用,农业户口,农业户口,农业户口,0,是,是,0,是,0,0,0,0,0,是,是,0,0,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1-5个,1-3个,1-3个,4-6个,没去投票,5,5,没有,经常,比较公平,5,4,8,2,同意,154,115,148,一般,从来没有,从来没有,0,0,0,比较信任,比较信任,0,0,访问员访填,从未,从未,很高,完全没有,很合作,很可靠,当地方言,0,7,0,0,0,3,1,1,1,0,0,1,0,1
四川,0,40,男,四川,0,0,0,农业户口,不适用,农业户口,农业户口,农业户口,农业户口,是,0,0,0,0,是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1-5个,1-3个,1-3个,一个也没有,没去投票,1很不幸福,1没那么幸福,没有,有时,说不上公平但也不能说不公平,3,1,5,1,同意,172,130,172,健康,很少,很少,0,0,30,一般,一般,是,是,访问员访填,从未,从未,很高,完全没有,很合作,很可靠,当地方言,是,6,1,1,0,1,1,1,-1,1,-2,0,0,2
山西,农村,64,0,山东,0,0,0,农业户口,不适用,农业户口,不适用,非农户口,0,是,是,0,0,是,0,0,0,0,0,0,是,0,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,16个或16个以上,9个以上,9个以上,9个以上,自己主动投票,6非常幸福,6更幸福,没有,总是,比较公平,6,4,7,6,同意,155,100,155,一般,有时,有时,是,0,-999,一般,比较信任,0,0,访问员访填,从未,从未,很高,完全没有,很合作,很可靠,普通话,0,9,0,0,0,2,2,1,2,1,0,1,0,10
甘肃,0,23,0,江西,0,0,0,农业户口,农业户口,农业户口,农业户口,农业户口,农业户口,是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1-5个,一个也没有,1-3个,1-3个,没去投票,6非常幸福,6更幸福,很少,有时,完全公平,5,5,8,5,不同意,168,110,148,健康,很少,有时,0,是,0,一般,比较信任,0,0,访问员访填,从未,从未,很高,完全没有,很合作,很可靠,普通话,是,6,1,0,0,3,2,1,-1,1,-1,1,0,1
甘肃,0,19,男,甘肃,0,0,是,农业户口,农业户口,农业户口,农业户口,农业户口,农业户口,是,0,0,0,0,是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1-5个,一个也没有,4-6个,一个也没有,没去投票,6非常幸福,6更幸福,没有,有时,说不上公平但也不能说不公平,6,2,10,4,不同意,171,120,170,健康,有时,从来没有,0,是,0,一般,一般,0,0,访问员访填,从未,从未,高,不像是,合作,可靠,普通话,是,-999,0,0,0,3,3,1,-999,-999,-3,1,-1,2
江苏,0,61,0,安徽,0,0,0,不适用,不适用,不适用,农业户口,农业户口,农业户口,是,是,0,0,0,是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,一个也没有,0,0,0,自己主动投票,1很不幸福,1没那么幸福,经常,有时,比较不公平,1,1,1,1,同意,166,130,166,比较不健康,很少,很少,0,0,0,比较信任,比较信任,0,0,访问员访填,从未,从未,高,不像是,合作,可靠,普通话,是,3,0,1,0,1,1,1,1,-1,0,1,-1,8
江西,农村,43,男,江西,0,0,0,农业户口,农业户口,农业户口,农业户口,农业户口,农业户口,是,0,0,0,0,是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,一个也没有,0,0,0,没去投票,3,3,有时,有时,说不上公平但也不能说不公平,3,3,3,3,不同意,165,126,165,一般,有时,有时,0,0,0,比较信任,比较信任,0,是,访问员访填,从未,偶尔,高,不像是,合作,可靠,使用当地方言和普通话,是,5,0,1,0,3,1,1,-1,-1,-1,0,2,8
广东,农村,50,0,广东,0,0,0,非农户口,非农户口,非农户口,非农户口,非农户口,0,是,0,0,0,0,0,0,0,0,0,0,是,0,0,0,0,0,0,0,0,0,是,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1-5个,1-3个,1-3个,一个也没有,没去投票,5,5,没有,有时,说不上公平但也不能说不公平,5,5,7,4,同意,156,150,150,健康,从来没有,从来没有,0,0,0,一般,一般,0,0,访问员访填,从未,有时,高,有些时候,合作,可靠,普通话,是,6,0,1,0,3,1,1,0,-999,0,1,-1,8
北京,农村,49,0,北京,0,0,0,不适用,不适用,不适用,非农户口,非农户口,0,是,是,0,是,0,0,0,0,0,0,是,0,0,0,0,是,是,是,是,0,0,是,是,0,是,需要,0,-999,-999,-999,从不,从不,很少,经常,经常,-999,-999,-999,-999,-999,-999,有,-999,6-10个,1-3个,1-3个,4-6个,自己主动投票,5,5,-999,-999,说不上公平但也不能说不公平,0,0,0,0,同意,158,108,160,一般,从来没有,从来没有,是,0,0,比较信任,比较信任,0,0,访问员访填,从未,从未,高,完全没有,很合作,很可靠,普通话,0,-999,1,1,0,3,1,1,-999,-999,-999,0,0,7
