PROVINCE,urban,age,gender,I1_3_1,party,army,sec_lan,f_b_hukou,f_n_hukou,m_b_hukou,m_n_hukou,b_hukou,n_hukou,local_hukou,migrant_hukou,cungaiju,u_w_m,u_c_m,r_m,p_m,uint_add_m,br_m,bus_m,I1_20_1,I1_20_2,n_r_o_i,I1_20_4,I1_20_5,I1_21,I1_22_1,I1_22_2,I1_22_3,tech_edu,I2_10,work_exp,I3a1_1,I3a1_2,I3a1_5,I3a1_9,I3a1_14,I3a1_16_1,I3a1_16_2,I3a1_16_3,I3a1_19_1,I3a1_19_2,I3a1_19_3,I3a1_20_1,I3a1_20_2,I3a1_20_3,I3a1_20_4,I3a1_20_5,I3a1_20_7,I3a1_20_8,I3a1_20_9,I3a1_21,I3a2_1,friend,psychofriend,discussfriend,moneyfriend,memberelect,happy,happycp,I7_7_1,I7_7_2,I7_9,soccls,b_soccls,I7_10_3_1,t_soccls,soctrs,I9_1,I9_2,arm,health,I9_5,I9_6,ill,I9_8,I9_9,I9_10,I9_11,I9_12,I9_14,interviewway,reject,impat,itviewer_trust,fudge,colla,rely,lang,sinitviewer,look,sinitviewee,y,belief,edu,fedu,medu,jobmean,dinner,socresp,localsc,comlk,plan
440000,0,27,0,440000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,2,2,1,4,4,1,3,3,7,7,9,6,3,150,92,155,2,1,1,0,0,2,2,3,0,0,1,4,3,3,3,3,3,2,1,7,0,1,0,2,1,1,-.94632351,.14427178,.23965405,1,-.09816055,1
360000,1,50,0,360000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,3,2,4,4,4,2,3,4,6,4,7,4,3,156,112,156,1,1,1,0,0,0,2,3,0,0,1,4,4,3,4,4,3,1,1,7,0,1,0,3,1,1,-999,-.46651101,.93470472,1,.66415,8
340000,0,45,1,340000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,3,2,3,3,1,2,3,3,3,-999,-999,-999,-999,-999,1,-999,5,2,2,2,4,4,4,2,4,2,3,2,5,2,3,168,142,167,3,3,1,1,0,0,3,3,1,0,1,4,4,3,4,3,3,1,1,6,1,1,0,-999,1,1,.18041472,-.92245275,-1.1265804,0,-.198245,2
420000,0,59,1,420000,0,0,0,1,99998,1,99998,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,0,0,1,3,4,1,5,4,5,5,5,1,3,170,130,167,2,1,1,0,0,-999,2,2,1,1,1,4,3,4,2,4,3,1,1,5,1,1,0,1,2,1,.78997415,-.92245275,.23965405,1,-.57815105,8
500000,1,54,0,500000,0,0,0,1,99998,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,2,3,3,5,5,1,4,4,5,4,8,2,3,154,115,148,3,1,1,0,0,0,2,2,0,0,1,4,4,4,4,4,4,2,0,7,0,0,0,3,1,1,.78997415,.37647817,.23965405,1,.28174546,1
510000,0,40,1,510000,0,0,0,1,99998,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,2,1,3,1,1,1,3,3,3,1,5,1,3,172,130,172,2,2,2,0,0,30,3,3,1,1,1,4,4,4,4,4,4,2,1,6,1,1,0,1,1,1,-.80333191,1.2109963,-1.9154463,0,.18665802,2
140000,1,64,0,370000,0,0,0,1,99998,1,99998,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,5,5,5,1,6,6,1,5,4,6,4,7,6,3,155,100,155,3,3,3,1,0,-999,3,2,0,0,1,4,4,4,4,4,4,1,0,9,0,0,0,2,2,1,1.7956105,1.2109963,.23965405,1,.28174546,10
620000,0,23,0,360000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,1,2,2,3,6,6,2,3,5,5,5,8,5,2,168,110,148,2,2,3,0,1,0,3,2,0,0,1,4,4,4,4,4,4,1,1,6,1,0,0,3,2,1,-.6127432,1.3324653,-1.2203956,1,-.093163542,1
620000,0,19,1,620000,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,1,3,1,3,6,6,1,3,3,6,2,10,4,2,171,120,170,2,3,1,0,1,0,3,3,0,0,1,4,4,3,3,3,3,1,1,-999,0,0,0,3,3,1,-999,-999,-2.6804452,1,-.57815105,2
320000,0,61,0,340000,0,0,0,99998,99998,99998,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,0,0,1,1,1,4,3,2,1,1,1,1,3,166,130,166,4,2,2,0,0,0,2,2,0,0,1,4,4,3,3,3,3,1,1,3,0,1,0,1,1,1,.60788256,-.92245275,.23965405,1,-1.2403771,8
360000,1,43,1,360000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,0,0,3,3,3,3,3,3,3,3,3,3,2,165,126,165,3,3,3,0,0,0,2,2,0,1,1,4,3,3,3,3,3,3,1,5,0,1,0,3,1,1,-.94632351,-.92245275,-1.2442626,0,1.906451,8
440000,1,50,0,440000,0,0,0,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,2,1,3,5,5,1,3,3,5,5,7,4,3,156,150,150,2,1,1,0,0,0,3,3,0,0,1,4,2,3,2,3,3,1,1,6,0,1,0,3,1,1,-.30919349,-999,.23965405,1,-1.3379631,8
110000,1,49,0,110000,0,0,0,99998,99998,99998,2,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,-999,-999,-999,4,4,3,1,1,-999,-999,-999,-999,-999,-999,1,-999,3,2,2,3,1,5,5,-999,-999,3,0,0,0,0,3,158,108,160,3,1,1,1,0,0,2,2,0,0,1,4,4,3,4,4,4,1,0,-999,1,1,0,3,1,1,-999,-999,-999,0,-.09816055,7
320000,0,51,0,320000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4,3,2,2,4,6,5,2,3,4,8,6,8,3,3,153,106,150,2,1,1,0,0,0,5,2,0,0,1,4,4,3,3,3,3,1,0,6,0,1,0,2,1,1,-.50581932,-.92245275,.23965405,1,1.5265449,8
130000,1,47,1,130000,0,0,0,2,2,2,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,1,1,2,3,3,2,1,5,4,0,7,0,6,3,170,150,160,3,5,1,0,0,0,2,3,1,0,1,4,4,4,4,4,4,2,1,4,1,1,0,1,-999,2,-.36282778,-.1121572,-.52534491,1,-.47806656,1
440000,0,52,1,440000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,0,0,3,3,3,4,4,2,5,5,6,1,3,175,151,173,3,1,4,0,0,0,3,2,1,1,1,4,4,3,3,3,3,2,1,8,0,1,1,1,2,1,-.88836598,2.6104746,-.54921186,1,-.67573696,2
610000,0,50,1,610000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,2,2,3,1,4,4,4,4,4,4,4,0,0,3,169,120,160,2,1,1,0,0,0,2,2,1,1,1,4,4,3,3,3,3,1,1,8,0,1,0,3,1,1,.059312921,-999,.23965405,1,.66415,8
450000,0,40,1,450000,0,0,0,1,99998,1,1,99999,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,4,4,1,4,3,3,1,1,3,3,1,7,1,2,158,100,158,3,1,1,0,0,0,2,3,1,1,1,4,4,3,3,3,3,2,0,6,0,1,0,1,1,1,-.30919349,-.92245275,-1.2203956,1,-.198245,8
420000,0,45,1,420000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,3,3,1,1,1,1,4,4,2,1,2,-999,-999,1,-999,2,1,1,2,3,4,4,2,5,2,3,2,4,2,3,168,150,168,4,4,1,0,0,20,2,3,0,1,1,4,4,4,4,4,4,1,1,6,0,1,0,1,1,1,.77658153,.27829427,-.45539662,1,.18665802,8
420000,1,52,1,420000,1,1,0,1,99998,1,99998,2,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,4,1,1,1,4,4,2,-999,1,2,2,1,-999,5,5,2,5,3,5,5,1,4,4,5,5,5,4,3,176,130,175,2,1,1,0,0,0,1,1,1,1,2,4,4,3,3,3,3,1,0,6,1,1,0,4,1,1,.32189941,-.14154981,.23965405,1,1.5240464,2
450000,0,58,0,450000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,0,0,3,6,3,1,4,1,1,1,3,1,3,148,100,148,5,4,1,1,0,180,2,2,0,0,1,4,3,3,4,4,3,1,0,-999,0,1,1,-999,1,1,-999,-.92245275,.91083777,1,.66664851,8
