x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,y
440000,0,27,0,440000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,2,2,1,4,4,1,3,3,7,7,9,6,3,150,92,155,2,1,1,0,0,2,2,3,0,0,1,4,3,3,3,3,3,2,1,7,0,0,2,1,1,-1,0,0,1,0,1,1
360000,1,50,0,360000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,3,2,4,4,4,2,3,4,6,4,7,4,3,156,112,156,1,1,1,0,0,0,2,3,0,0,1,4,4,3,4,4,3,1,1,7,0,0,3,1,1,-999,0,1,1,1,8,1
340000,0,45,1,340000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,3,2,3,3,1,2,3,3,3,-999,-999,-999,-999,-999,1,-999,5,2,2,2,4,4,4,2,4,2,3,2,5,2,3,168,142,167,3,3,1,1,0,0,3,3,1,0,1,4,4,3,4,3,3,1,1,6,1,0,-999,1,1,0,-1,-1,0,0,2,1
420000,0,59,1,420000,0,0,0,1,99998,1,99998,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,0,0,1,3,4,1,5,4,5,5,5,1,3,170,130,167,2,1,1,0,0,-999,2,2,1,1,1,4,3,4,2,4,3,1,1,5,1,0,1,2,1,1,-1,0,1,-1,8,1
500000,1,54,0,500000,0,0,0,1,99998,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,2,3,3,5,5,1,4,4,5,4,8,2,3,154,115,148,3,1,1,0,0,0,2,2,0,0,1,4,4,4,4,4,4,2,0,7,0,0,3,1,1,1,0,0,1,0,1,0
510000,0,40,1,510000,0,0,0,1,99998,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,2,1,3,1,1,1,3,3,3,1,5,1,3,172,130,172,2,2,2,0,0,30,3,3,1,1,1,4,4,4,4,4,4,2,1,6,1,0,1,1,1,-1,1,-2,0,0,2,1
140000,1,64,0,370000,0,0,0,1,99998,1,99998,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,5,5,5,1,6,6,1,5,4,6,4,7,6,3,155,100,155,3,3,3,1,0,-999,3,2,0,0,1,4,4,4,4,4,4,1,0,9,0,0,2,2,1,2,1,0,1,0,10,0
620000,0,23,0,360000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,1,2,2,3,6,6,2,3,5,5,5,8,5,2,168,110,148,2,2,3,0,1,0,3,2,0,0,1,4,4,4,4,4,4,1,1,6,1,0,3,2,1,-1,1,-1,1,0,1,0
620000,0,19,1,620000,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,1,3,1,3,6,6,1,3,3,6,2,10,4,2,171,120,170,2,3,1,0,1,0,3,3,0,0,1,4,4,3,3,3,3,1,1,-999,0,0,3,3,1,-999,-999,-3,1,-1,2,0
320000,0,61,0,340000,0,0,0,99998,99998,99998,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,0,0,1,1,1,4,3,2,1,1,1,1,3,166,130,166,4,2,2,0,0,0,2,2,0,0,1,4,4,3,3,3,3,1,1,3,0,0,1,1,1,1,-1,0,1,-1,8,1
360000,1,43,1,360000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0,0,0,3,3,3,3,3,3,3,3,3,3,2,165,126,165,3,3,3,0,0,0,2,2,0,1,1,4,3,3,3,3,3,3,1,5,0,0,3,1,1,-1,-1,-1,0,2,8,1
440000,1,50,0,440000,0,0,0,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,2,1,3,5,5,1,3,3,5,5,7,4,3,156,150,150,2,1,1,0,0,0,3,3,0,0,1,4,2,3,2,3,3,1,1,6,0,0,3,1,1,0,-999,0,1,-1,8,1
